head,relation,tail,head_type,tail_type,source
肺炎,常见症状,咳嗽,疾病,症状,demo_kg
肺炎,常见症状,发热,疾病,症状,demo_kg
肺炎,常见症状,咳痰,疾病,症状,demo_kg
肺炎,推荐检查,胸部CT,疾病,检查,demo_kg
肺炎,推荐检查,血常规,疾病,检查,demo_kg
肺炎,推荐检查,C反应蛋白,疾病,检查,demo_kg
肺炎,就诊科室,呼吸内科,疾病,科室,demo_kg
肺炎,相关药物,抗生素,疾病,药物,demo_kg
糖尿病,常见症状,多饮,疾病,症状,demo_kg
糖尿病,常见症状,多尿,疾病,症状,demo_kg
糖尿病,推荐检查,空腹血糖,疾病,检查,demo_kg
糖尿病,推荐检查,糖化血红蛋白,疾病,检查,demo_kg
糖尿病,就诊科室,内分泌科,疾病,科室,demo_kg
糖尿病,相关药物,二甲双胍,疾病,药物,demo_kg
高血压,常见症状,头晕,疾病,症状,demo_kg
高血压,推荐检查,血压测量,疾病,检查,demo_kg
高血压,就诊科室,心血管内科,疾病,科室,demo_kg
阿司匹林,用药风险,出血风险,药物,风险,demo_kg
华法林,用药风险,出血风险,药物,风险,demo_kg
二甲双胍,用药风险,胃肠道反应,药物,风险,demo_kg
